Industry Clean,Mapped,count,Industry Ref
Non-Profit Organization Management,true,5,Non-Profit Management
Non-Profit Organization Management,true,5,Non-profit trade association
Primary & Secondary Education,true,5,Non-Profit/Education
Non-Profit Organization Management,true,5,Nonprofit (Human Services)
Pest control,,5,Pest control
Manufacturing,true,5,Pharmaceutical Manufacturing
Power,,5,Power
Procurement,,5,Procurement
Produce,,5,Produce
Product Development,,5,Product Development
Psychology,,5,Psychology
Public Schools,,5,Public Schools
Recycling,,5,Recycling
Regulatory Affairs,,5,Regulatory Affairs
Religious Institutions,true,5,Religious Institution
Research & Development,,5,Research & Development
School,,5,School
Computer Software,true,5,Software/IT
Trades,,5,Trades
Transportation/Trucking/Railroad,true,5,Transportation & Logistics
Unemployed,,5,Unemployed
Higher Education,true,5,University education
Wine and Spirits,true,5,Wine
Research,true,4,Academia/Research
Accounting,true,4,Accounting and Finance
Administrative,,4,Administrative
Analytics,,4,Analytics
Architecture & Planning,true,4,Architecture and Engineering
Architecture & Planning,true,4,Architecture/Design
Fine Art,true,4,Art
Non-Profit Organization Management,true,4,Arts and Culture Non-Profit
Athletics,,4,Athletics
Auditing,,4,Auditing
Automotive,true,4,Auto industry
B2B SAAS,,4,B2B SAAS
Banking,true,4,Banking and Finance
Banking,true,4,Banking/ Finance
Beverage,,4,Beverage
Gambling & Casinos,true,4,Casino
Government Administration,true,4,Central government
Cloud Computing,,4,Cloud Computing
Coffee,,4,Coffee
Computer Hardware,true,4,Computer Hardware
Computer Science,,4,Computer Science
Computer Technology,,4,Computer Technology
Information Technology and Services,,4,Consulting / Tech
Consumer Technology,,4,Consumer Technology
Counselling,,4,Counselling
Cultural Resource Management,,4,Cultural Resource Management
Digital,,4,Digital
Publishing,true,4,Digital Publishing
Diplomacy,,4,Diplomacy
Retail,true,4,E-Commerce Retail
E-Learning,,4,E-Learning
Primary & Secondary Education,true,4,Educational Software
Electric Power,,4,Electric Power
Consumer Electronics,true,4,Electronics Distribution
Oil & Energy,true,4,Energy/Utilities
Engineer,,4,Engineer
Engineering Services,,4,Engineering Services
Apparel & Fashion,true,4,Fashion Design
Federal govt,,4,Federal govt
Fintech,,4,Fin tech
Banking,true,4,Finance/Banking
Food & Beverages,true,4,Food Retail
Government Administration,true,4,Government - Law Enforcement
Government Administration,true,4,Government (Legal)
Government Administration,true,4,Government Finance
Information Technology and Services,true,4,Government IT contracting
Hospital & Health Care,true,4,Health Information Management
Hospital & Health Care,true,4,Health Policy
Hospital & Health Care,true,4,Healthcare Staffing
Heritage,,4,Heritage
Higher Education,true,4,Higher Education - Student Affairs
Building Materials,true,4,Home building
Hotel,,4,Hotel
Housing,,4,Housing
Human Resources,true,4,Human Capital Management
Industrial Automation,true,4,Industrial Sales
Industrial Automation,true,4,Industrial Sales / Engineering
Information Technology and Services,true,4,Information Systems
Insurance,true,4,Insurance (Property Casualty)
Non-Profit Organization Management,true,4,International Development Nonprofit
Higher Education,true,4,International Education
Computer Software,true,4,Internet Software
Law Practice,true,4,Lawyer
Librarian,,4,Librarian
MANUFACTURE,,4,MANUFACTURE
Maritime,,4,Maritime
Marketing & Advertising,,4,Marketing/Advertising
Media,true,4,Media Research
Media,true,4,Media/Advertising
Medical Practice,true,4,Medical Billing
Medical Devices,true,4,Medical Device Sales
Publishing,true,4,Medical publishing
Mental Health Care,true,4,Mental Health Care
Mortgage Servicing,,4,Mortgage Servicing
Non Profit - Youth Development,,4,Non-profit youth development
Nuclear Power,,4,Nuclear Power
Oil & Energy,true,4,Oil
Oil & Energy,true,4,oil refining
E-Learning,true,4,Online Education
Online Marketing,,4,Online Marketing
Optical,,4,Optical
Pharmaceuticals,,4,Pharmaceutical Advertising
Pharmaceutical Industry,,4,Pharmaceutical Industry
Physical Therapy,,4,Physical Therapy
Porn,,4,Porn
Print,,4,Print
Project Management,,4,Project Management
Public Affairs,,4,Public Affairs
Transportation/Trucking/Railroad,true,4,Rail
Real Estate,true,4,Real Estate Investment
Religious Institutions,true,4,Religious Organization
Banking,true,4,Retail banking
Risk Management,,4,Risk Management
Computer Software,true,4,Saas software
Media,true,4,Social Media
Consumer Goods,true,4,Sporting Goods
State agency,,4,State agency
Student,,4,Student
Talent Acquisition,,4,Talent Acquisition
Tax Consulting,,4,Tax Consulting
Tech (startup),,4,Tech (startup)
Tech Industry,,4,Tech Industry
Manufacturing,true,4,Tech manufacturing
Tech support,,4,Tech support
Computer Software,true,4,Tech/Software
Higher Education,true,4,Tertiary Education
Texh,,4,Texh
Theater,,4,Theater
Translation and Localization,true,4,Translation
Transport,,4,Transport
Computer Games,true,4,Video Game Development
Wastewater,,4,Wastewater
Design,true,4,Web Design
Web Services,,4,Web Services
Workforce Development,,4,Workforce Development
Research,true,3,Academia/Higher Ed
Hospital & Health Care,true,3,Acedemia/Healthcare
Marketing and Advertising,true,3,Advertising tech
Marketing and Advertising,true,3,Advertising/Marketing
Affordable Housing,,3,Affordable Housing
Agribusiness,,3,Agribusiness
Chemicals,true,3,Agrochemical
Aircraft Maintenance,,3,Aircraft Maintenance
Airlines/Aviation,true,3,Airlines
